city,date,count
"Trent Hills, Ontario",2022-09-26 03:20:00,1.0
"Lot 35, Prince Edward Island",2022-09-26 03:20:00,1.0
"Airdrie, Alberta",2022-09-26 03:15:00,1.0
"Sainte-Julienne, Québec",2022-09-26 03:15:00,1.0
"Strathcona County, Alberta",2022-09-26 03:15:00,1.0
"Vancouver, British Columbia",2022-09-26 03:15:00,5.0
"Kamloops, British Columbia",2022-09-26 03:15:00,1.0
"Cape Breton, Nova Scotia",2022-09-26 03:15:00,1.0
"Windsor, Ontario",2022-09-26 03:15:00,1.0
"Brampton, Ontario",2022-09-26 03:15:00,2.0
"Pickering, Ontario",2022-09-26 03:15:00,1.0
"Mascouche, Québec",2022-09-26 03:15:00,1.0
"Norfolk County, Ontario",2022-09-26 03:15:00,1.0
"Nanaimo, British Columbia",2022-09-26 03:15:00,1.0
"Calgary, Alberta",2022-09-26 03:15:00,2.0
"Kelowna, British Columbia",2022-09-26 03:15:00,1.0
"Battleford, Saskatchewan",2022-09-26 03:15:00,1.0
"Whitby, Ontario",2022-09-26 03:15:00,1.0
"Greater Vancouver A, British Columbia",2022-09-26 03:15:00,1.0
"Delta, British Columbia",2022-09-26 03:15:00,1.0
"Whitewater, Manitoba",2022-09-26 03:15:00,1.0
"Halifax, Nova Scotia",2022-09-26 03:15:00,1.0
"Surrey, British Columbia",2022-09-26 03:15:00,1.0
"North Bay, Ontario",2022-09-26 03:15:00,1.0
"Laval, Québec",2022-09-26 03:15:00,1.0
"Ottawa, Ontario",2022-09-26 03:15:00,2.0
"Edmonton, Alberta",2022-09-26 03:15:00,2.0
"Willner No. 253, Saskatchewan",2022-09-26 03:15:00,1.0
"Richmond Hill, Ontario",2022-09-26 03:15:00,2.0
"Whistler, British Columbia",2022-09-26 03:15:00,1.0
"Mississauga, Ontario",2022-09-26 03:15:00,1.0
"Port Hawkesbury, Nova Scotia",2022-09-26 03:15:00,1.0
"Cambridge, Ontario",2022-09-26 03:15:00,1.0
"Burnaby, British Columbia",2022-09-26 03:15:00,1.0
"Peterborough, Ontario",2022-09-26 03:15:00,1.0
"Saint-Georges, Québec",2022-09-26 03:15:00,1.0
"Montréal, Québec",2022-09-26 03:15:00,4.0
"Toronto, Ontario",2022-09-26 03:15:00,10.0
"New Westminster, British Columbia",2022-09-26 03:15:00,1.0
"London, Ontario",2022-09-26 03:15:00,2.0
